Education Audiovisual and Culture Executive Agency,"http://dbpedia.org/resource/Education,_Audiovisual_and_Culture_Executive_Agency","Education, Audiovisual and Culture Executive Agency"
Eurofound,http://dbpedia.org/resource/Political_foundation_at_European_level,Political foundation at European level
European Agency for Safety and Health at Work,http://dbpedia.org/resource/European_Agency_for_Safety_and_Health_at_Work,European Agency for Safety and Health at Work
European Anti-Fraud Office,http://dbpedia.org/resource/European_Anti-fraud_Office,European Anti-fraud Office
European Aviation Safety Agency,http://dbpedia.org/resource/European_Aviation_Safety_Agency,European Aviation Safety Agency
European Banking Authority,http://dbpedia.org/resource/European_Banking_Authority,European Banking Authority
European Central Bank,http://dbpedia.org/resource/European_Central_Bank,European Central Bank
European Centre for Disease Prevention and Control,http://dbpedia.org/resource/European_Centre_for_Disease_Prevention_and_Control,European Centre for Disease Prevention and Control
European Chemicals Agency,http://dbpedia.org/resource/European_Chemicals_Agency,European Chemicals Agency
European Court of Auditors,http://dbpedia.org/resource/Court_of_Auditors,Court of Auditors
European Data Protection Supervisor,http://dbpedia.org/resource/European_Data_Protection_Supervisor,European Data Protection Supervisor
European Defence Agency,http://dbpedia.org/resource/European_Defence_Agency,European Defence Agency
European Economic and Social Committee,http://dbpedia.org/resource/European_Economic_and_Social_Committee,European Economic and Social Committee
European Environment Agency,http://dbpedia.org/resource/European_Environment_Agency,European Environment Agency
European External Action Service,http://dbpedia.org/resource/European_External_Action_Service,European External Action Service
European Fisheries Control Agency,http://dbpedia.org/resource/European_Fisheries_Control_Agency,European Fisheries Control Agency
European Food Safety Authority,http://dbpedia.org/resource/European_Food_Safety_Authority,European Food Safety Authority
European Institute for Gender Equality,http://dbpedia.org/resource/European_Institute_for_Gender_Equality,European Institute for Gender Equality
European Institute of Innovation and Technology,http://dbpedia.org/resource/European_Institute_of_Innovation_and_Technology,European Institute of Innovation and Technology
European Insurance and Occupational Pensions Authority,http://dbpedia.org/resource/European_Insurance_and_Occupational_Pensions_Authority,European Insurance and Occupational Pensions Authority
European Investment Bank,http://dbpedia.org/resource/European_Investment_Bank,European Investment Bank
European Maritime Safety Agency,http://dbpedia.org/resource/European_Maritime_Safety_Agency,European Maritime Safety Agency
European Medicines Agency,http://dbpedia.org/resource/European_Medicines_Agency,European Medicines Agency
European Monitoring Centre for Drugs and Drug Addiction,http://dbpedia.org/resource/European_Monitoring_Centre_for_Drugs_and_Drug_Addiction,European Monitoring Centre for Drugs and Drug Addiction
European Ombudsman,http://dbpedia.org/resource/European_Ombudsman,European Ombudsman
European Parliament,http://dbpedia.org/resource/European_Parliament,European Parliament
European Securities and Markets Authority,http://dbpedia.org/resource/European_Securities_and_Markets_Authority,European Securities and Markets Authority
European Training Foundation,http://dbpedia.org/resource/European_Training_Foundation,European Training Foundation
European Union Agency for Fundamental Rights,http://dbpedia.org/resource/Fundamental_Rights_Agency,Fundamental Rights Agency
Europol,http://dbpedia.org/resource/Europol,Europol
Eurostat,http://dbpedia.org/resource/Eurostat,Eurostat
Frontex,http://dbpedia.org/resource/Frontex,Frontex
Joint Research Centre,http://dbpedia.org/resource/Joint_Research_Centre,Joint Research Centre
Publications Office,http://dbpedia.org/resource/Publications_Office_of_the_European_Union,Publications Office of the European Union
Secretariat-General,http://dbpedia.org/resource/Secretary-General_of_the_European_Commission,Secretary-General of the European Commission
SESAR Joint Undertaking,http://dbpedia.org/resource/SESAR_Joint_Undertaking,SESAR Joint Undertaking
Translation Centre,http://dbpedia.org/resource/Translation_Centre_for_the_Bodies_of_the_European_Union,Translation Centre for the Bodies of the European Union
